Expense Category,Budgeted Amount,Actual Amount,Variance,Variance %,Comments
Office Supplies,27988.01,28187.4337510868,199.42375108680062,0.71,Overdue to remote work increase
Marketing Expenses,20136.41,20724.173527437513,587.7635274375134,2.92,Increased campaign costs
Consulting Fees,36429.63,38076.53742618049,1646.9074261804926,4.52,Savings from in-house expertise
Marketing Expenses,77540.73,92287.10256546563,14746.37256546563,19.02,Increased campaign costs
Miscellaneous Expenses,52360.87,54448.60258406629,2087.732584066289,3.99,Unexpected miscellaneous costs
Office Supplies,25964.04,25446.041585178707,-517.9984148212934,-2.0,Overdue to remote work increase
Salaries and Wages,39254.67,44185.583510604396,4930.913510604398,12.56,Overdue to overtime and staffing needs
Employee Benefits,25620.02,22441.056285652972,-3178.963714347028,-12.41,Lower due to reduced benefits claims
Technology Equipment,18177.06,14866.256401918416,-3310.8035980815857,-18.21,High due to unexpected upgrades
Travel Expenses,54915.31,60422.421044693,5507.111044693003,10.03,Under budget due to reduced travel
Office Supplies,78401.86,77799.80622517767,-602.0537748223287,-0.77,Overdue to remote work increase
Employee Benefits,61868.53,74893.94395052643,13025.413950526432,21.05,Lower due to reduced benefits claims
Miscellaneous Expenses,97337.86,109429.12411915048,12091.26411915048,12.42,Unexpected miscellaneous costs
Salaries and Wages,43805.48,51447.805269713266,7642.325269713263,17.45,Overdue to overtime and staffing needs
Consulting Fees,56263.3,45603.24655027662,-10660.053449723382,-18.95,Savings from in-house expertise
Marketing Expenses,61197.9,75881.35411376582,14683.454113765816,23.99,Increased campaign costs
Salaries and Wages,58356.03,54304.7149456664,-4051.3150543336014,-6.94,Overdue to overtime and staffing needs
Technology Equipment,67076.04,76215.65873046263,9139.618730462636,13.63,High due to unexpected upgrades
Office Supplies,43328.3,40339.52926689326,-2988.770733106743,-6.9,Overdue to remote work increase
Employee Benefits,72511.93,88986.47115774038,16474.541157740387,22.72,Lower due to reduced benefits claims
Consulting Fees,63345.51,80174.63619148289,16829.126191482886,26.57,Savings from in-house expertise
Salaries and Wages,37357.99,43269.26309929494,5911.273099294944,15.82,Overdue to overtime and staffing needs
Marketing Expenses,92760.45,76555.94101424683,-16204.508985753171,-17.47,Increased campaign costs
Office Supplies,39413.4,43907.740657737646,4494.3406577376445,11.4,Overdue to remote work increase
Office Supplies,88862.68,90222.54007242036,1359.8600724203716,1.53,Overdue to remote work increase
Office Supplies,90638.69,107622.12986795195,16983.43986795195,18.74,Overdue to remote work increase
Utilities,76918.05,94620.86157345904,17702.81157345904,23.02,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,20148.2,21999.40406044337,1851.2040604433678,9.19,Increased campaign costs
Training and Development,36177.76,45890.84197899795,9713.08197899795,26.85,Underutilized training budget
Employee Benefits,44830.74,38422.12144843513,-6408.6185515648685,-14.3,Lower due to reduced benefits claims
Miscellaneous Expenses,25699.43,27927.49494731946,2228.0649473194608,8.67,Unexpected miscellaneous costs
Consulting Fees,41830.25,40287.40149784222,-1542.8485021577799,-3.69,Savings from in-house expertise
Employee Benefits,40237.05,40468.03865120599,230.9886512059893,0.57,Lower due to reduced benefits claims
Travel Expenses,36537.35,41438.95933880113,4901.609338801129,13.42,Under budget due to reduced travel
Miscellaneous Expenses,37426.11,35470.60781021531,-1955.502189784689,-5.22,Unexpected miscellaneous costs
Marketing Expenses,82143.05,90844.35865047642,8701.308650476421,10.59,Increased campaign costs
Salaries and Wages,92899.77,97135.26475298892,4235.494752988918,4.56,Overdue to overtime and staffing needs
Office Supplies,95196.06,83134.85806811429,-12061.201931885706,-12.67,Overdue to remote work increase
Salaries and Wages,15872.77,16636.767513554412,763.9975135544119,4.81,Overdue to overtime and staffing needs
Employee Benefits,17893.07,18573.119339112163,680.0493391121636,3.8,Lower due to reduced benefits claims
Consulting Fees,25399.9,26063.276889479002,663.376889479001,2.61,Savings from in-house expertise
Salaries and Wages,92199.72,94581.93329574697,2382.213295746973,2.58,Overdue to overtime and staffing needs
Employee Benefits,63327.39,74384.8444185724,11057.454418572393,17.46,Lower due to reduced benefits claims
Travel Expenses,10588.87,9350.27979216321,-1238.5902078367908,-11.7,Under budget due to reduced travel
Employee Benefits,61587.28,63591.27404686643,2003.994046866428,3.25,Lower due to reduced benefits claims
Utilities,25633.43,29929.191529837135,4295.761529837135,16.76,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,84370.45,69904.3568923786,-14466.093107621404,-17.15,Overdue to remote work increase
Technology Equipment,61351.05,54798.06388823616,-6552.986111763843,-10.68,High due to unexpected upgrades
Salaries and Wages,38654.03,36071.98615865213,-2582.0438413478696,-6.68,Overdue to overtime and staffing needs
Technology Equipment,66569.29,76215.42152272529,9646.131522725293,14.49,High due to unexpected upgrades
Miscellaneous Expenses,90409.98,92638.93398303172,2228.9539830317226,2.47,Unexpected miscellaneous costs
Office Supplies,13985.18,13087.256511643982,-897.9234883560184,-6.42,Overdue to remote work increase
Consulting Fees,78039.73,77234.71504176834,-805.0149582316517,-1.03,Savings from in-house expertise
Employee Benefits,41150.36,53113.40337791439,11963.043377914386,29.07,Lower due to reduced benefits claims
Miscellaneous Expenses,56383.91,45348.481444658915,-11035.428555341088,-19.57,Unexpected miscellaneous costs
Employee Benefits,49305.15,187628.97085432397,138323.82085432397,280.55,Lower due to reduced benefits claims
Salaries and Wages,24930.51,20270.89925488629,-4659.610745113707,-18.69,Overdue to overtime and staffing needs
Training and Development,29633.47,37991.37796394317,8357.907963943166,28.2,Underutilized training budget
Office Supplies,77817.28,72695.89087528463,-5121.389124715366,-6.58,Overdue to remote work increase
Utilities,32290.72,26170.138545561535,-6120.581454438467,-18.95,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,96906.45,104836.42453908084,7929.974539080838,8.18,Lower due to reduced benefits claims
Salaries and Wages,21560.68,27515.870753060233,5955.190753060233,27.62,Overdue to overtime and staffing needs
Salaries and Wages,49504.05,45592.01952778483,-3912.0304722151704,-7.9,Overdue to overtime and staffing needs
Marketing Expenses,55498.72,56191.90790931139,693.1879093113894,1.25,Increased campaign costs
Technology Equipment,27982.4,27725.769851955232,-256.63014804476916,-0.92,High due to unexpected upgrades
Consulting Fees,86235.26,96546.33077097459,10311.070770974591,11.96,Savings from in-house expertise
Marketing Expenses,89257.71,88591.2805185812,-666.4294814188033,-0.75,Increased campaign costs
Utilities,28524.33,27625.16178064588,-899.1682193541201,-3.15,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,72897.38,72566.80371606522,-330.5762839347881,-0.45,Lower due to reduced benefits claims
Utilities,91447.7,77530.23383955618,-13917.466160443815,-15.22,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,87298.07,78579.93822286556,-8718.131777134447,-9.99,High due to unexpected upgrades
Technology Equipment,80419.82,73350.78872389365,-7069.031276106354,-8.79,High due to unexpected upgrades
Office Supplies,23108.99,28196.908982820034,5087.918982820032,22.02,Overdue to remote work increase
Training and Development,16529.19,20546.468708465196,4017.2787084651973,24.3,Underutilized training budget
Travel Expenses,96633.07,125408.9366790869,28775.86667908689,29.78,Under budget due to reduced travel
Salaries and Wages,73423.22,85876.59635122766,12453.376351227664,16.96,Overdue to overtime and staffing needs
Marketing Expenses,29096.03,24614.547605194824,-4481.482394805174,-15.4,Increased campaign costs
Miscellaneous Expenses,71698.71,74821.15233545404,3122.442335454034,4.35,Unexpected miscellaneous costs
Training and Development,90129.38,104495.61289631088,14366.232896310874,15.94,Underutilized training budget
Employee Benefits,88476.39,89029.30573634403,552.9157363440318,0.62,Lower due to reduced benefits claims
Technology Equipment,90381.89,113755.02159117957,23373.13159117957,25.86,High due to unexpected upgrades
Salaries and Wages,45185.59,41046.651825846944,-4138.938174153052,-9.16,Overdue to overtime and staffing needs
Training and Development,22199.52,27006.161416258274,4806.641416258273,21.65,Underutilized training budget
Technology Equipment,13695.85,17319.494283747143,3623.6442837471423,26.46,High due to unexpected upgrades
Salaries and Wages,46920.07,53427.59950473251,6507.529504732513,13.87,Overdue to overtime and staffing needs
Training and Development,29065.74,31868.26353403244,2802.52353403244,9.64,Underutilized training budget
Marketing Expenses,90999.93,78162.04008955124,-12837.88991044875,-14.11,Increased campaign costs
Employee Benefits,89509.67,107647.23792927791,18137.56792927791,20.26,Lower due to reduced benefits claims
Miscellaneous Expenses,32483.21,26767.250573536385,-5715.959426463614,-17.6,Unexpected miscellaneous costs
Consulting Fees,13234.54,12115.662638484962,-1118.8773615150385,-8.45,Savings from in-house expertise
Miscellaneous Expenses,11054.11,14205.636365768198,3151.526365768197,28.51,Unexpected miscellaneous costs
Utilities,27334.66,33387.74644767037,6053.086447670368,22.14,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,83450.77,81874.52109018448,-1576.2489098155202,-1.89,High due to unexpected upgrades
Miscellaneous Expenses,43050.97,46520.15964081303,3469.189640813027,8.06,Unexpected miscellaneous costs
Technology Equipment,37686.45,48827.26937149633,11140.819371496334,29.56,High due to unexpected upgrades
Employee Benefits,42188.72,43578.60977516656,1389.8897751665572,3.29,Lower due to reduced benefits claims
Employee Benefits,19917.09,19380.238477315936,-536.8515226840645,-2.7,Lower due to reduced benefits claims
Consulting Fees,12313.06,15451.469193437824,3138.409193437825,25.49,Savings from in-house expertise
Miscellaneous Expenses,44689.86,48247.307453360154,3557.4474533601533,7.96,Unexpected miscellaneous costs
Utilities,54970.59,71134.16032176798,16163.570321767984,29.4,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,81955.52,104142.2584939816,22186.738493981597,27.07,High due to unexpected upgrades
Consulting Fees,75211.66,84653.83123122047,9442.171231220462,12.55,Savings from in-house expertise
Travel Expenses,48830.89,50481.93553880662,1651.0455388066184,3.38,Under budget due to reduced travel
Office Supplies,48038.34,42995.654108439136,-5042.685891560861,-10.5,Overdue to remote work increase
Employee Benefits,42407.19,47016.23486418996,4609.044864189957,10.87,Lower due to reduced benefits claims
Marketing Expenses,27613.34,25089.223671970685,-2524.116328029315,-9.14,Increased campaign costs
Miscellaneous Expenses,44616.78,49373.144236533655,4756.364236533656,10.66,Unexpected miscellaneous costs
Marketing Expenses,20168.89,16363.89218674725,-3804.9978132527485,-18.87,Increased campaign costs
Travel Expenses,24475.84,24927.464532263857,451.62453226385696,1.85,Under budget due to reduced travel
Employee Benefits,96487.84,109300.2157669641,12812.375766964105,13.28,Lower due to reduced benefits claims
Miscellaneous Expenses,50364.21,49741.67354941383,-622.5364505861726,-1.24,Unexpected miscellaneous costs
Travel Expenses,49795.99,50234.70958722658,438.7195872265802,0.88,Under budget due to reduced travel
Training and Development,72330.23,61303.2145850929,-11027.015414907095,-15.25,Underutilized training budget
Utilities,67772.47,70047.54208608392,2275.072086083921,3.36,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,99761.6,117881.88588437486,18120.285884374855,18.16,Lower due to reduced benefits claims
Consulting Fees,41539.46,38645.81068845644,-2893.6493115435587,-6.97,Savings from in-house expertise
Office Supplies,98741.23,120350.30205135107,21609.072051351075,21.88,Overdue to remote work increase
Travel Expenses,52137.07,194717.59408671746,142580.52408671746,273.47,Under budget due to reduced travel
Travel Expenses,26161.77,26380.999733111097,219.22973311109672,0.84,Under budget due to reduced travel
Office Supplies,71145.66,80373.95076463843,9228.290764638426,12.97,Overdue to remote work increase
Training and Development,25266.94,30498.993014415064,5232.053014415065,20.71,Underutilized training budget
Marketing Expenses,53978.83,58293.6478916098,4314.817891609797,7.99,Increased campaign costs
Office Supplies,67980.81,56168.49347178297,-11812.31652821703,-17.38,Overdue to remote work increase
Salaries and Wages,44698.67,51989.23945785454,7290.569457854544,16.31,Overdue to overtime and staffing needs
Miscellaneous Expenses,28919.18,26533.744164248546,-2385.435835751454,-8.25,Unexpected miscellaneous costs
Travel Expenses,45707.44,50312.37206169699,4604.932061696985,10.07,Under budget due to reduced travel
Travel Expenses,96392.57,79855.73696974383,-16536.83303025618,-17.16,Under budget due to reduced travel
Employee Benefits,99372.43,91505.7081447115,-7866.721855288488,-7.92,Lower due to reduced benefits claims
Technology Equipment,18711.3,16005.989180491777,-2705.3108195082223,-14.46,High due to unexpected upgrades
Marketing Expenses,70320.58,69245.2545884746,-1075.3254115253949,-1.53,Increased campaign costs
Consulting Fees,73269.95,86288.04910424977,13018.099104249777,17.77,Savings from in-house expertise
Travel Expenses,26162.46,29862.455540804476,3699.995540804477,14.14,Under budget due to reduced travel
Training and Development,51080.46,58563.80920581777,7483.349205817773,14.65,Underutilized training budget
Technology Equipment,97561.03,103997.78150627369,6436.751506273693,6.6,High due to unexpected upgrades
Salaries and Wages,96296.66,91159.68397200482,-5136.976027995188,-5.33,Overdue to overtime and staffing needs
Marketing Expenses,70379.17,65135.408751829615,-5243.761248170384,-7.45,Increased campaign costs
Technology Equipment,57940.77,59061.89514555907,1121.1251455590755,1.93,High due to unexpected upgrades
Utilities,71607.32,68711.3576605163,-2895.962339483711,-4.04,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,13762.85,14610.086682928819,847.2366829288185,6.16,Under budget due to reduced travel
Miscellaneous Expenses,27311.76,28493.268934504737,1181.5089345047381,4.33,Unexpected miscellaneous costs
Salaries and Wages,83712.22,104631.09461949588,20918.87461949588,24.99,Overdue to overtime and staffing needs
Salaries and Wages,83610.5,97431.47918525846,13820.97918525846,16.53,Overdue to overtime and staffing needs
Miscellaneous Expenses,79740.62,89639.51876612763,9898.898766127633,12.41,Unexpected miscellaneous costs
Salaries and Wages,59695.8,49984.445350226975,-9711.354649773028,-16.27,Overdue to overtime and staffing needs
Training and Development,68157.97,78840.09684735534,10682.126847355335,15.67,Underutilized training budget
Utilities,15229.14,15313.08230415506,83.9423041550599,0.55,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,38387.05,32105.010187413372,-6282.03981258663,-16.36,Savings from in-house expertise
Utilities,75407.63,93971.46353035826,18563.833530358257,24.62,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,79651.67,78702.47930056235,-949.1906994376477,-1.19,Under budget due to reduced travel
Salaries and Wages,42668.2,40081.71668412012,-2586.4833158798792,-6.06,Overdue to overtime and staffing needs
Marketing Expenses,89642.37,76387.83328126346,-13254.536718736534,-14.79,Increased campaign costs
Employee Benefits,68290.24,72697.94155777991,4407.701557779903,6.45,Lower due to reduced benefits claims
Utilities,39781.84,35962.73837965,-3819.1016203499967,-9.6,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,94986.0,119499.17481632167,24513.17481632167,25.81,Overdue to remote work increase
Travel Expenses,57884.21,64832.96596923009,6948.755969230093,12.0,Under budget due to reduced travel
Miscellaneous Expenses,41876.87,53379.084631860256,11502.214631860254,27.47,Unexpected miscellaneous costs
Marketing Expenses,21418.18,24923.95966436365,3505.77966436365,16.37,Increased campaign costs
Training and Development,34086.09,32612.03785974688,-1474.0521402531158,-4.32,Underutilized training budget
Marketing Expenses,25432.51,31342.206983242788,5909.696983242789,23.24,Increased campaign costs
Office Supplies,45507.33,57128.929629491475,11621.599629491473,25.54,Overdue to remote work increase
Marketing Expenses,52451.91,62386.594071905354,9934.68407190535,18.94,Increased campaign costs
Consulting Fees,35359.54,45458.2190437557,10098.6790437557,28.56,Savings from in-house expertise
Consulting Fees,30958.24,34023.50508245156,3065.265082451555,9.9,Savings from in-house expertise
Miscellaneous Expenses,97280.35,115187.50154560851,17907.151545608504,18.41,Unexpected miscellaneous costs
Travel Expenses,12051.75,15102.224851171468,3050.474851171468,25.31,Under budget due to reduced travel
Miscellaneous Expenses,62917.28,56034.25909296162,-6883.020907038379,-10.94,Unexpected miscellaneous costs
Miscellaneous Expenses,55536.99,61048.79621409845,5511.806214098455,9.92,Unexpected miscellaneous costs
Miscellaneous Expenses,30401.8,39150.65212050803,8748.852120508029,28.78,Unexpected miscellaneous costs
Marketing Expenses,16502.76,13916.614518018101,-2586.1454819818973,-15.67,Increased campaign costs
Consulting Fees,39133.65,35253.72390681872,-3879.9260931812823,-9.91,Savings from in-house expertise
Marketing Expenses,31512.58,40862.00333047668,9349.423330476675,29.67,Increased campaign costs
Marketing Expenses,96793.35,80205.88230284603,-16587.467697153974,-17.14,Increased campaign costs
Miscellaneous Expenses,23315.69,26771.12880828135,3455.438808281353,14.82,Unexpected miscellaneous costs
Miscellaneous Expenses,37905.49,41095.75047908667,3190.2604790866753,8.42,Unexpected miscellaneous costs
Utilities,30868.96,35832.56649327689,4963.606493276893,16.08,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,37438.18,36073.38534781533,-1364.794652184668,-3.65,Under budget due to reduced travel
Travel Expenses,52327.16,60394.577327426865,8067.417327426861,15.42,Under budget due to reduced travel
Marketing Expenses,50521.9,60264.2825188756,9742.382518875602,19.28,Increased campaign costs
Travel Expenses,20402.03,18879.793713526127,-1522.2362864738716,-7.46,Under budget due to reduced travel
Miscellaneous Expenses,33079.87,37553.162106690135,4473.292106690133,13.52,Unexpected miscellaneous costs
Miscellaneous Expenses,35425.14,30771.710938196153,-4653.429061803847,-13.14,Unexpected miscellaneous costs
Employee Benefits,56959.67,64781.93641143328,7822.26641143328,13.73,Lower due to reduced benefits claims
Training and Development,65493.83,71645.51354597785,6151.683545977852,9.39,Underutilized training budget
Utilities,93113.67,106212.27348653098,13098.603486530978,14.07,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,45098.85,40258.78743487469,-4840.062565125307,-10.73,High due to unexpected upgrades
Technology Equipment,51086.9,239802.4141241261,188715.51412412612,369.4,High due to unexpected upgrades
Miscellaneous Expenses,64925.21,80384.2305577764,15459.020557776406,23.81,Unexpected miscellaneous costs
Marketing Expenses,49965.62,56280.70814909931,6315.088149099305,12.64,Increased campaign costs
Marketing Expenses,15362.1,18539.47357554477,3177.3735755447688,20.68,Increased campaign costs
Technology Equipment,52597.43,63633.55052972196,11036.120529721957,20.98,High due to unexpected upgrades
Training and Development,29385.16,31978.350437083303,2593.1904370833036,8.82,Underutilized training budget
Salaries and Wages,98801.04,79276.44501362093,-19524.59498637906,-19.76,Overdue to overtime and staffing needs
Technology Equipment,22529.29,20986.672783447666,-1542.6172165523349,-6.85,High due to unexpected upgrades
Miscellaneous Expenses,56124.16,55720.67777585057,-403.482224149433,-0.72,Unexpected miscellaneous costs
Training and Development,80488.76,89628.45499621221,9139.694996212216,11.36,Underutilized training budget
Travel Expenses,66164.01,59972.08836925531,-6191.921630744684,-9.36,Under budget due to reduced travel
Training and Development,75284.99,96983.60953541592,21698.619535415914,28.82,Underutilized training budget
Consulting Fees,20058.74,23684.666553719228,3625.926553719226,18.08,Savings from in-house expertise
Training and Development,98980.55,93769.78008811589,-5210.769911884112,-5.26,Underutilized training budget
Travel Expenses,93391.19,79726.51361246972,-13664.676387530286,-14.63,Under budget due to reduced travel
Miscellaneous Expenses,36996.31,41819.60878077773,4823.298780777732,13.04,Unexpected miscellaneous costs
Employee Benefits,20365.92,26148.73248872866,5782.812488728661,28.39,Lower due to reduced benefits claims
Office Supplies,18517.24,21811.82676336511,3294.586763365107,17.79,Overdue to remote work increase
Miscellaneous Expenses,13444.14,16287.663481596981,2843.5234815969816,21.15,Unexpected miscellaneous costs
Training and Development,43088.29,37416.94288062276,-5671.347119377242,-13.16,Underutilized training budget
Consulting Fees,67374.52,57446.4955164466,-9928.024483553403,-14.74,Savings from in-house expertise
Consulting Fees,86147.5,89451.91960249949,3304.419602499489,3.84,Savings from in-house expertise
Travel Expenses,25252.56,26287.514770755573,1034.954770755572,4.1,Under budget due to reduced travel
Office Supplies,42927.36,44753.11579774301,1825.7557977430115,4.25,Overdue to remote work increase
Office Supplies,33818.83,39829.680240040594,6010.850240040592,17.77,Overdue to remote work increase
Miscellaneous Expenses,98817.37,91965.94395168804,-6851.426048311958,-6.93,Unexpected miscellaneous costs
Training and Development,72200.66,68791.41113654447,-3409.248863455534,-4.72,Underutilized training budget
Training and Development,77690.66,95141.93419382226,17451.27419382226,22.46,Underutilized training budget
Travel Expenses,43767.04,46498.660607316946,2731.620607316945,6.24,Under budget due to reduced travel
Technology Equipment,91641.63,99514.84178086236,7873.211780862359,8.59,High due to unexpected upgrades
Utilities,14124.45,11362.480904378885,-2761.969095621116,-19.55,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,66661.21,59519.29657408936,-7141.913425910643,-10.71,Overdue to remote work increase
Utilities,91166.73,113610.60048545142,22443.87048545142,24.62,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,70609.79,68182.47560044537,-2427.314399554627,-3.44,Overdue to remote work increase
Marketing Expenses,41420.53,41648.00403820292,227.47403820291947,0.55,Increased campaign costs
Salaries and Wages,48099.17,56392.760983428685,8293.590983428687,17.24,Overdue to overtime and staffing needs
Marketing Expenses,56489.27,64350.9151165762,7861.645116576205,13.92,Increased campaign costs
Salaries and Wages,14202.19,13733.21881253148,-468.97118746851993,-3.3,Overdue to overtime and staffing needs
Miscellaneous Expenses,36200.27,35078.2022519328,-1122.0677480671948,-3.1,Unexpected miscellaneous costs
Consulting Fees,22888.97,28252.807443161328,5363.8374431613265,23.43,Savings from in-house expertise
Office Supplies,58817.0,73444.01823444144,14627.018234441435,24.87,Overdue to remote work increase
Consulting Fees,81216.62,72045.9263562871,-9170.69364371289,-11.29,Savings from in-house expertise
Marketing Expenses,94175.43,379591.38308231765,285415.95308231766,303.07,Increased campaign costs
Salaries and Wages,19357.72,18651.31902745911,-706.4009725408905,-3.65,Overdue to overtime and staffing needs
Marketing Expenses,64512.79,79714.71514722875,15201.92514722875,23.56,Increased campaign costs
Technology Equipment,27347.01,26302.96115259788,-1044.0488474021186,-3.82,High due to unexpected upgrades
Technology Equipment,16268.43,17111.823792393312,843.3937923933117,5.18,High due to unexpected upgrades
Training and Development,40040.1,42313.771416106436,2273.6714161064374,5.68,Underutilized training budget
Training and Development,53308.47,46525.29162294155,-6783.178377058452,-12.72,Underutilized training budget
Technology Equipment,87253.64,73292.66110561232,-13960.978894387677,-16.0,High due to unexpected upgrades
Training and Development,22958.96,26995.731469905542,4036.771469905543,17.58,Underutilized training budget
Employee Benefits,71571.57,70798.13602977403,-773.4339702259749,-1.08,Lower due to reduced benefits claims
Employee Benefits,28737.87,33414.951031199234,4677.081031199235,16.27,Lower due to reduced benefits claims
Marketing Expenses,69827.11,76213.70724475817,6386.5972447581735,9.15,Increased campaign costs
Travel Expenses,98945.17,109370.7676822413,10425.597682241307,10.54,Under budget due to reduced travel
Marketing Expenses,21959.35,21673.936391706677,-285.4136082933219,-1.3,Increased campaign costs
Salaries and Wages,31384.52,35296.82925859522,3912.3092585952218,12.47,Overdue to overtime and staffing needs
Office Supplies,42327.4,39521.40052521459,-2805.9994747854143,-6.63,Overdue to remote work increase
Office Supplies,33252.12,34592.99637882809,1340.8763788280849,4.03,Overdue to remote work increase
Training and Development,82360.05,102295.25771039004,19935.207710390037,24.2,Underutilized training budget
Marketing Expenses,15261.68,19521.596235385772,4259.916235385772,27.91,Increased campaign costs
Consulting Fees,35618.27,34376.17848383664,-1242.0915161633602,-3.49,Savings from in-house expertise
Miscellaneous Expenses,32481.86,34413.66774644985,1931.8077464498492,5.95,Unexpected miscellaneous costs
Technology Equipment,37305.24,35994.09064804427,-1311.1493519557262,-3.51,High due to unexpected upgrades
Consulting Fees,29219.88,35384.03854012292,6164.15854012292,21.1,Savings from in-house expertise
Marketing Expenses,79750.44,75444.377076047,-4306.062923952995,-5.4,Increased campaign costs
Utilities,34730.8,31972.417410207658,-2758.3825897923452,-7.94,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,30091.69,25828.33863947897,-4263.351360521028,-14.17,Increased campaign costs
Office Supplies,12408.89,10801.947397377304,-1606.9426026226956,-12.95,Overdue to remote work increase
Travel Expenses,29630.74,27141.12880297007,-2489.6111970299316,-8.4,Under budget due to reduced travel
Employee Benefits,85169.21,81107.4454337065,-4061.76456629351,-4.77,Lower due to reduced benefits claims
Salaries and Wages,28488.22,26458.727087850024,-2029.4929121499772,-7.12,Overdue to overtime and staffing needs
Utilities,22014.54,24282.129877842628,2267.589877842627,10.3,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,84125.85,103409.1764900227,19283.326490022693,22.92,Overdue to overtime and staffing needs
Utilities,16037.4,14813.875823850798,-1223.5241761492016,-7.63,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,69809.74,81365.16283270055,11555.42283270054,16.55,Overdue to overtime and staffing needs
Training and Development,20686.44,18939.114831259496,-1747.3251687405027,-8.45,Underutilized training budget
Office Supplies,16138.6,13528.96569615079,-2609.6343038492105,-16.17,Overdue to remote work increase
Employee Benefits,48627.53,46050.579857030556,-2576.950142969443,-5.3,Lower due to reduced benefits claims
Employee Benefits,66912.36,78342.97057431776,11430.610574317761,17.08,Lower due to reduced benefits claims
Office Supplies,27179.91,34465.34312085742,7285.4331208574185,26.8,Overdue to remote work increase
Office Supplies,83031.08,105290.84867026455,22259.768670264544,26.81,Overdue to remote work increase
Consulting Fees,16679.16,21397.15971405978,4717.999714059781,28.29,Savings from in-house expertise
Technology Equipment,33968.58,30855.34864845801,-3113.231351541992,-9.17,High due to unexpected upgrades
Utilities,23371.72,25476.03399832122,2104.3139983212204,9.0,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,53289.5,56947.92896400131,3658.4289640013085,6.87,Under budget due to reduced travel
Training and Development,95083.83,98753.98533495945,3670.155334959447,3.86,Underutilized training budget
Utilities,93278.78,98052.12302123067,4773.34302123067,5.12,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,11300.71,9570.566028482644,-1730.1439715173547,-15.31,Overdue to overtime and staffing needs
Salaries and Wages,44888.97,51570.70428951798,6681.734289517975,14.89,Overdue to overtime and staffing needs
Miscellaneous Expenses,78893.4,99433.3580187291,20539.9580187291,26.04,Unexpected miscellaneous costs
Miscellaneous Expenses,17365.84,22196.477554508558,4830.6375545085575,27.82,Unexpected miscellaneous costs
Utilities,51281.84,50193.36268834347,-1088.4773116565266,-2.12,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,24383.95,20655.852793950566,-3728.097206049435,-15.29,"Efficient usage, possibly due to energy-saving initiatives"
Training and Development,48404.33,60188.1563041983,11783.826304198301,24.34,Underutilized training budget
Travel Expenses,44625.87,54894.18348295201,10268.313482952006,23.01,Under budget due to reduced travel
Employee Benefits,93070.8,76863.37217718383,-16207.427822816171,-17.41,Lower due to reduced benefits claims
Salaries and Wages,57728.15,50953.11238589598,-6775.037614104018,-11.74,Overdue to overtime and staffing needs
Salaries and Wages,87977.52,91280.73181619051,3303.211816190509,3.75,Overdue to overtime and staffing needs
Travel Expenses,81333.74,83386.0356092065,2052.2956092064996,2.52,Under budget due to reduced travel
Consulting Fees,60220.45,64810.0283812018,4589.578381201805,7.62,Savings from in-house expertise
Salaries and Wages,53978.63,67896.40698771857,13917.776987718571,25.78,Overdue to overtime and staffing needs
Training and Development,44091.15,38371.888621285885,-5719.261378714116,-12.97,Underutilized training budget
Utilities,30740.4,34373.68595196509,3633.2859519650883,11.82,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,84054.82,69421.27176886352,-14633.54823113649,-17.41,Under budget due to reduced travel
Salaries and Wages,41821.43,51864.47144807766,10043.04144807766,24.01,Overdue to overtime and staffing needs
Technology Equipment,65420.7,55627.02277690678,-9793.677223093218,-14.97,High due to unexpected upgrades
Training and Development,29516.0,35206.47925681967,5690.479256819672,19.28,Underutilized training budget
Marketing Expenses,75418.83,66494.27914729404,-8924.550852705957,-11.83,Increased campaign costs
Office Supplies,34337.58,31368.56190668659,-2969.0180933134106,-8.65,Overdue to remote work increase
Travel Expenses,77867.09,69360.44523322991,-8506.644766770085,-10.92,Under budget due to reduced travel
